                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
    num cache misses                 |     160733 |     333603 |     146206 |      36053 |      94403 |      98684 |     195265 |     185144 |      16477
    miss rate                        |     88.94% |     66.57% |     97.37% |     97.83% |     96.20% |     95.93% |      3.02% |      3.60% |     54.78%
    mpki                             |      16.65 |      69.79 |       0.43 |       0.43 |       0.48 |       0.50 |       0.28 |       0.25 |       3.64
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     168958 |     499752 |     148053 |      36495 |      97420 |     101809 |     200976 |     190101 |      24523
    num cache misses                 |      89344 |     333169 |     143741 |      35900 |      93133 |      95048 |     163821 |     172347 |      16472
    miss rate                        |     52.88% |     66.67% |     97.09% |     98.37% |     95.60% |     93.36% |     81.51% |     90.66% |     67.17%
    mpki                             |       9.25 |      69.70 |       0.42 |       0.43 |       0.48 |       0.48 |       0.23 |       0.23 |       3.64
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     108073 |     108044 |     108061 |     108052 |     108054 |     109555 |     108006 |     108031 |     108054
  average dram access latency (ns)   |      61.26 |      61.26 |      61.26 |      61.26 |      61.26 |      61.25 |      61.25 |      61.25 |      61.25
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2413 |     331921 |      36264 |      32979 |      47429 |      50104 |      81707 |      85831 |        101
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      10377 |        174 |      99543 |        746 |      39946 |      39144 |       6951 |       6164 |      11874
