                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache accesses               |    1529873 |     430469 |    6352671 |    6347430 |    6367479 |   13010101 |    5803645 |    5456376 |    5500443 |    5413111 |   42030569 |   40112434 |   40437613 |   42280531 |     617589
    num cache misses                 |       2022 |        562 |        417 |        648 |        398 |        567 |        970 |       1842 |       1785 |       1009 |      20825 |      24214 |      26366 |      21009 |        520
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.00% |      0.02% |      0.03% |      0.03% |      0.02% |      0.05% |      0.06% |      0.07% |      0.05% |      0.08%
    mpki                             |       0.21 |       0.13 |       0.00 |       0.01 |       0.00 |       0.00 |       0.01 |       0.02 |       0.02 |       0.01 |       0.06 |       0.07 |       0.07 |       0.06 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836272 |    3838162 |   56692420 |   56681745 |   56848747 |  115947938 |   24120351 |   22676246 |   22860513 |   22498235 |  179216092 |  169707092 |  173068049 |  181468612 |    2491255
    num cache misses                 |     173538 |     334389 |      36449 |      36453 |      36318 |      74334 |      49842 |      47306 |      47268 |      46623 |    2582719 |    3115352 |    3177459 |    2615776 |      21782
    miss rate                        |      3.59% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.44% |      1.84% |      1.84% |      1.44% |      0.87%
    mpki                             |      17.90 |      76.09 |       0.43 |       0.43 |       0.43 |       0.43 |       0.48 |       0.49 |       0.48 |       0.49 |       7.00 |       8.90 |       8.95 |       7.05 |       4.79
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     239675 |     372787 |      37217 |      37430 |      37036 |      75801 |      51634 |      49922 |      50549 |      49200 |    2605209 |    3140935 |    3205297 |    2638451 |      25835
    num cache misses                 |     162439 |     333609 |      36497 |      36638 |      36373 |      74085 |      50470 |      48626 |      48625 |      47229 |      99909 |     107692 |     107641 |     104281 |      16419
    miss rate                        |     67.77% |     89.49% |     98.07% |     97.88% |     98.21% |     97.74% |     97.75% |     97.40% |     96.19% |     95.99% |      3.83% |      3.43% |      3.36% |      3.95% |     63.55%
    mpki                             |      16.75 |      75.91 |       0.43 |       0.44 |       0.43 |       0.43 |       0.49 |       0.50 |       0.50 |       0.49 |       0.27 |       0.31 |       0.30 |       0.28 |       3.61
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     226559 |     371446 |      36848 |      36967 |      36693 |      74998 |      51292 |      49400 |      50123 |      48797 |     101657 |     109086 |     109202 |     106017 |      19956
    num cache misses                 |     154502 |     332922 |      35169 |      29611 |      34981 |      12756 |       3797 |       3870 |      46347 |      45912 |      74772 |      68715 |      60326 |      77208 |       6283
    miss rate                        |     68.20% |     89.63% |     95.44% |     80.10% |     95.33% |     17.01% |      7.40% |      7.83% |     92.47% |     94.09% |     73.55% |     62.99% |     55.24% |     72.83% |     31.48%
    mpki                             |      15.93 |      75.75 |       0.42 |       0.35 |       0.41 |       0.07 |       0.04 |       0.04 |       0.47 |       0.48 |       0.20 |       0.20 |       0.17 |       0.21 |       1.38
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     531079 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     530958 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74560 |     203669 |      33069 |      27859 |      33096 |       8843 |       1994 |       1904 |       1366 |       1480 |        662 |        497 |        569 |        614 |       4623
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3222 |          3 |        474 |        407 |        410 |       1260 |        343 |        355 |      42561 |      41761 |      25955 |      21559 |      12862 |      28304 |        218
