                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
    miss rate                        |     66.87% |     76.82% |     97.68% |     97.65% |     96.50% |     95.51% |      3.67% |      3.68% |     67.60%
    mpki                             |      16.45 |      72.83 |       0.43 |       0.43 |       0.48 |       0.50 |       0.26 |       0.25 |       3.56
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     225222 |     432779 |     146696 |      36813 |      96927 |     101295 |     193091 |     184502 |      19444
    num cache misses                 |     157966 |     332947 |      77763 |      35571 |      72089 |      80394 |     180592 |     167897 |       6090
    miss rate                        |     70.14% |     76.93% |     53.01% |     96.63% |     74.37% |     79.37% |     93.53% |     91.00% |     31.32%
    mpki                             |      16.36 |      72.71 |       0.23 |       0.42 |       0.37 |       0.40 |       0.25 |       0.24 |       1.34
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     384333 |          0 |          0 |     384308 |          0 |          0 |     384863 |          0 |          0
  average dram access latency (ns)   |      61.26 |        inf |        inf |      61.26 |        inf |        inf |      61.29 |        inf |        inf
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.04 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |      71014 |     265107 |      68343 |      32874 |       3041 |       2834 |      65349 |      68907 |       4420
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      10259 |          6 |       2717 |        713 |      64283 |      72757 |      23881 |      16396 |        303
