                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num misses                       |        113 |         35 |         33 |         32 |         32 |         32 |         39 |         39 |         39 |         39 |         45 |         40 |         40 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836350 |    3848682 |   56692400 |   56848747 |   56681295 |  115948446 |   23006966 |   22846377 |   23023184 |   23278003 |  169581173 |  175333026 |  176308577 |  182234451 |    2500886
    num misses                       |      14716 |       5346 |        601 |        589 |        586 |       1166 |       2315 |       2297 |       2193 |       2257 |      20245 |      22607 |      20208 |      22817 |       3805
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.15%
    mpki                             |       1.52 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.06 |       0.06 |       0.83
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14829 |       5381 |        634 |        621 |        618 |       1198 |       2354 |       2336 |       2232 |       2296 |      20290 |      22647 |      20248 |      22864 |       3846
    num misses                       |       6321 |       5324 |        626 |        616 |        614 |       1188 |       1779 |       1773 |       1707 |       1798 |       1879 |       1955 |       2000 |       2187 |       2245
    miss rate                        |     42.63% |     98.94% |     98.74% |     99.19% |     99.35% |     99.17% |     75.57% |     75.90% |     76.48% |     78.31% |      9.26% |      8.63% |      9.88% |      9.57% |     58.37%
    mpki                             |       0.65 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.49
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529879 |     430466 |    6352664 |    6367479 |    6347309 |   13010239 |    5535640 |    5497145 |    5539615 |    5600960 |   40535959 |   41078181 |   40748039 |   42497211 |     618824
    num cache misses                 |       2022 |        463 |        406 |        402 |        649 |       1054 |       1072 |       1848 |       1829 |       1025 |      20186 |      20366 |      26695 |      21099 |        612
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.03% |      0.03% |      0.02% |      0.05% |      0.05% |      0.07% |      0.05% |      0.10%
    mpki                             |       0.21 |       0.10 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.06 |       0.06 |       0.07 |       0.06 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836350 |    3848682 |   56692400 |   56848747 |   56681295 |  115948446 |   23006966 |   22846377 |   23023184 |   23278003 |  169581173 |  175333026 |  176308577 |  182234451 |    2500886
    num cache misses                 |     173481 |     334386 |      36411 |      36329 |      36429 |      74953 |      47830 |      47571 |      47563 |      48027 |    2350462 |    2483728 |    3278075 |    2643294 |      25935
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.39% |      1.42% |      1.86% |      1.45% |      1.04%
    mpki                             |      17.89 |      75.81 |       0.43 |       0.43 |       0.43 |       0.44 |       0.49 |       0.49 |       0.48 |       0.48 |       6.63 |       6.91 |       9.16 |       7.08 |       5.68
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240803 |     377954 |      37175 |      37063 |      37396 |      76942 |      49720 |      51014 |      50851 |      50601 |    2372270 |    2505964 |    3306894 |    2666688 |      34861
    num cache misses                 |     162482 |     333511 |      36443 |      36389 |      36619 |      74966 |      48519 |      48891 |      48969 |      48692 |      93825 |      99623 |     112742 |     103432 |      17964
    miss rate                        |     67.48% |     88.24% |     98.03% |     98.18% |     97.92% |     97.43% |     97.58% |     95.84% |     96.30% |     96.23% |      3.96% |      3.98% |      3.41% |      3.88% |     51.53%
    mpki                             |      16.76 |      75.62 |       0.43 |       0.43 |       0.44 |       0.44 |       0.49 |       0.50 |       0.50 |       0.49 |       0.26 |       0.28 |       0.31 |       0.28 |       3.93
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227787 |     376617 |      36801 |      36721 |      36937 |      75914 |      49337 |      50488 |      50427 |      50241 |      95490 |     101553 |     114920 |     105847 |      26278
    num cache misses                 |     156412 |     332929 |      35139 |      35023 |      28161 |      10462 |       4059 |      46628 |      46414 |      47144 |      55167 |      58608 |      65249 |      61323 |      16655
    miss rate                        |     68.67% |     88.40% |     95.48% |     95.38% |     76.24% |     13.78% |      8.23% |     92.35% |     92.04% |     93.84% |     57.77% |     57.71% |     56.78% |     57.94% |     63.38%
    mpki                             |      16.13 |      75.48 |       0.42 |       0.42 |       0.34 |       0.06 |       0.04 |       0.48 |       0.47 |       0.47 |       0.16 |       0.16 |       0.18 |       0.16 |       3.65
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     350838 |          0 |          0 |          0 |          0 |          0 |          0 |     350817 |          0 |          0 |          0 |          0 |          0 |          0 |     350911
  average dram access latency (ns)   |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75619 |     208940 |      33085 |      33062 |      26423 |       6297 |       1916 |       1469 |       1389 |       1502 |        909 |        810 |        567 |        879 |       3269
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4037 |          1 |        457 |        454 |        414 |       1414 |        439 |      42411 |      42741 |      43181 |      10682 |      11324 |      15352 |      11031 |       9020
