                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13714 |       5361 |        629 |        629 |        621 |       1190 |       2205 |       2187 |       2288 |       2251 |      20138 |      23035 |      20464 |      18788 |       3062
    num misses                       |       5801 |       5325 |        625 |        623 |        613 |       1188 |       1760 |       1717 |       1817 |       1766 |       2015 |       2012 |       1872 |       1837 |       2179
    miss rate                        |     42.30% |     99.33% |     99.36% |     99.05% |     98.71% |     99.83% |     79.82% |     78.51% |     79.41% |     78.45% |     10.01% |      8.73% |      9.15% |      9.78% |     71.16%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.48
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529810 |     430466 |    6352636 |    6367612 |    6347313 |   13010265 |    5463758 |    5502217 |    5682964 |    5524411 |   41575015 |   42113757 |   40859904 |   40312452 |     614826
    num cache misses                 |       1840 |        459 |        402 |        409 |        646 |       1071 |       1865 |       1876 |        926 |       1053 |      20971 |      20279 |      25391 |      26223 |        648
    miss rate                        |      0.12% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.03% |      0.02% |      0.02% |      0.05% |      0.05% |      0.06% |      0.07% |      0.11%
    mpki                             |       0.19 |       0.10 |       0.00 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.06 |       0.05 |       0.07 |       0.07 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836109 |    3838146 |   56692365 |   56849234 |   56681291 |  115948415 |   22708107 |   22867520 |   23617830 |   22961266 |  176725214 |  181410635 |  173593074 |  171738517 |    2480550
    num cache misses                 |     169711 |     334383 |      36405 |      36339 |      36433 |      74966 |      47368 |      47240 |      48866 |      47592 |    2481218 |    2607564 |    3262236 |    3127963 |      23898
    miss rate                        |      3.51% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.40% |      1.44% |      1.88% |      1.82% |      0.96%
    mpki                             |      17.50 |      76.09 |       0.43 |       0.43 |       0.43 |       0.44 |       0.49 |       0.48 |       0.48 |       0.49 |       6.81 |       7.02 |       9.12 |       8.89 |       5.28
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     235803 |     372679 |      37137 |      37065 |      37396 |      76941 |      50025 |      49837 |      51466 |      50255 |    2503706 |    2629309 |    3289096 |    3155688 |      27870
    num cache misses                 |     159158 |     333504 |      36434 |      36412 |      36619 |      74983 |      48699 |      48699 |      49450 |      48208 |     102724 |     101560 |     104485 |     106965 |      17018
    miss rate                        |     67.50% |     89.49% |     98.11% |     98.24% |     97.92% |     97.46% |     97.35% |     97.72% |     96.08% |     95.93% |      4.10% |      3.86% |      3.18% |      3.39% |     61.06%
    mpki                             |      16.42 |      75.89 |       0.43 |       0.43 |       0.44 |       0.44 |       0.50 |       0.50 |       0.49 |       0.49 |       0.28 |       0.27 |       0.29 |       0.30 |       3.76
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     223414 |     371342 |      36764 |      36729 |      36936 |      75900 |      49491 |      49420 |      51124 |      49818 |     104300 |     103104 |     106004 |     108545 |      20346
    num cache misses                 |     154744 |     332934 |      35116 |      34934 |      32499 |      18834 |       3887 |       3423 |      48365 |      46708 |      69625 |      68582 |      68274 |      65719 |       5964
    miss rate                        |     69.26% |     89.66% |     95.52% |     95.11% |     87.99% |     24.81% |      7.85% |      6.93% |     94.60% |     93.76% |     66.75% |     66.52% |     64.41% |     60.55% |     29.31%
    mpki                             |      15.96 |      75.76 |       0.42 |       0.41 |       0.39 |       0.11 |       0.04 |       0.03 |       0.48 |       0.48 |       0.19 |       0.18 |       0.19 |       0.19 |       1.32
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     533796 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     533855 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.30 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74626 |     203670 |      33085 |      33089 |      30703 |      14697 |       1881 |       1770 |       1504 |       1508 |        722 |        851 |        391 |        445 |       4488
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3322 |          2 |        431 |        403 |        409 |       1294 |        362 |        331 |      43927 |      42661 |      21271 |      19818 |      25279 |      20093 |        152
