                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
    num cache accesses               |    1524594 |     430473 |    6367771 |   25709028 |   10963649 |   11208547 |   81601205 |   83252860 |     619347
    num cache misses                 |       2010 |        467 |        399 |       1869 |       1747 |       3588 |      40039 |      39757 |        452
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.02% |      0.03% |      0.05% |      0.05% |      0.07%
    mpki                             |       0.21 |       0.11 |       0.00 |       0.01 |       0.01 |       0.02 |       0.06 |       0.05 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4811988 |    3848687 |   56849723 |  229315181 |   45563570 |   46583763 |  345630003 |  357811017 |    2520883
    num cache misses                 |     170717 |     334379 |      36000 |     146176 |      93703 |      96135 |    4857722 |    5150573 |      20834
    miss rate                        |      3.55% |      8.69% |      0.06% |      0.06% |      0.21% |      0.21% |      1.41% |      1.44% |      0.83%
    mpki                             |      17.68 |      75.81 |       0.43 |       0.43 |       0.48 |       0.48 |       6.80 |       7.05 |       4.54
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     236586 |     377946 |      36618 |     149268 |      96868 |     101158 |    4901438 |    5194394 |      25488
    num cache misses                 |     161011 |     333508 |      36055 |     145699 |      94654 |      98659 |     176591 |     188213 |      15342
    miss rate                        |     68.06% |     88.24% |     98.46% |     97.61% |     97.71% |     97.53% |      3.60% |      3.62% |     60.19%
    mpki                             |      16.68 |      75.62 |       0.43 |       0.43 |       0.49 |       0.50 |       0.25 |       0.26 |       3.34
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     224875 |     376609 |      36278 |     147008 |      96073 |     100095 |     180376 |     192356 |      19544
    num cache misses                 |     153832 |     332930 |      34589 |     140387 |       6778 |       6387 |      84163 |     175659 |       8789
    miss rate                        |     68.41% |     88.40% |     95.34% |     95.50% |      7.06% |      6.38% |     46.66% |     91.32% |     44.97%
    mpki                             |      15.93 |      75.48 |       0.41 |       0.41 |       0.03 |       0.03 |       0.12 |       0.24 |       1.91
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     554358 |          0 |          0 |          0 |          0 |          0 |          0 |     554448 |          0
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30 |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74382 |     208935 |      33108 |     133279 |       3931 |       3755 |       1486 |        211 |        803
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2778 |          0 |        174 |       1126 |        195 |        173 |       3709 |      89319 |       5668
