                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache accesses               |    1529793 |     430473 |    6352655 |    6367451 |    6347297 |   13010137 |    5639237 |    5687825 |    5191479 |    5655104 |   42038414 |   39928211 |   41649873 |   41243800 |     617486
    num cache misses                 |       2013 |        563 |        401 |        642 |        405 |        574 |       1171 |       2259 |       1865 |       1211 |      17018 |      21999 |      22359 |      23429 |        483
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.00% |      0.02% |      0.04% |      0.04% |      0.02% |      0.04% |      0.06% |      0.05% |      0.06% |      0.08%
    mpki                             |       0.21 |       0.13 |       0.00 |       0.01 |       0.00 |       0.00 |       0.01 |       0.02 |       0.02 |       0.01 |       0.05 |       0.06 |       0.06 |       0.06 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836067 |    3838163 |   56692398 |   56848737 |   56681259 |  115947977 |   23437472 |   23638354 |   21576181 |   23503094 |  179003514 |  168993746 |  179779487 |  175683465 |    2493347
    num cache misses                 |     173486 |     334395 |      36423 |      36634 |      36109 |      74314 |      48515 |      49036 |      44865 |      48713 |    2532824 |    3164076 |    3374460 |    3232358 |      21396
    miss rate                        |      3.59% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.41% |      1.87% |      1.88% |      1.84% |      0.86%
    mpki                             |      17.89 |      76.09 |       0.43 |       0.43 |       0.43 |       0.43 |       0.48 |       0.48 |       0.49 |       0.49 |       6.87 |       9.04 |       9.25 |       8.93 |       4.70
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     239691 |     372795 |      37159 |      37595 |      36836 |      75779 |      50480 |      52069 |      48208 |      51630 |    2551396 |    3187501 |    3398285 |    3257273 |      25188
    num cache misses                 |     162431 |     333616 |      36444 |      36802 |      36192 |      74074 |      49181 |      50516 |      46178 |      49302 |      97529 |     103129 |     115289 |     108077 |      15996
    miss rate                        |     67.77% |     89.49% |     98.08% |     97.89% |     98.25% |     97.75% |     97.43% |     97.02% |     95.79% |     95.49% |      3.82% |      3.24% |      3.39% |      3.32% |     63.51%
    mpki                             |      16.75 |      75.91 |       0.43 |       0.44 |       0.43 |       0.43 |       0.49 |       0.50 |       0.50 |       0.49 |       0.26 |       0.29 |       0.32 |       0.30 |       3.51
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     226628 |     371454 |      36779 |      37121 |      36514 |      74978 |      49975 |      51290 |      47659 |      51008 |      99126 |     104642 |     116803 |     109660 |      19306
    num cache misses                 |     154646 |     332923 |      35090 |      34956 |      32679 |      15348 |       3761 |       3761 |      43820 |      48174 |      68473 |      69210 |      69242 |      68372 |       5947
    miss rate                        |     68.24% |     89.63% |     95.41% |     94.17% |     89.50% |     20.47% |      7.53% |      7.33% |     91.94% |     94.44% |     69.08% |     66.14% |     59.28% |     62.35% |     30.80%
    mpki                             |      15.95 |      75.75 |       0.42 |       0.41 |       0.39 |       0.09 |       0.04 |       0.04 |       0.48 |       0.48 |       0.19 |       0.20 |       0.19 |       0.19 |       1.31
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     533757 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     533748 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74625 |     203672 |      33091 |      33077 |      30874 |      11378 |       1976 |       1806 |       1402 |       1516 |        688 |        356 |        638 |        452 |       4393
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3307 |          3 |        413 |        418 |        404 |       1247 |        350 |        390 |      40055 |      43734 |      20523 |      25440 |      20844 |      22390 |        191
