                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836887 |    3848699 |   56692432 |  115948406 |   56681308 |   56848772 |   22862902 |   22097973 |   23992133 |   23201390 |  172215654 |  182561467 |  172459860 |  176220261 |    2499905
    num misses                       |      14493 |       5333 |        685 |       1199 |        595 |        593 |       2102 |       2213 |       2228 |       2233 |      24034 |      22458 |      19643 |      21298 |       4381
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.18%
    mpki                             |       1.49 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.07 |       0.06 |       0.06 |       0.06 |       0.96
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14606 |       5369 |        718 |       1231 |        629 |        627 |       2141 |       2252 |       2267 |       2272 |      24074 |      22504 |      19682 |      21345 |       4422
    num misses                       |       6366 |       5325 |        626 |       1189 |        615 |        617 |       1712 |       1764 |       1799 |       1775 |       1831 |       2061 |       1812 |       1976 |       2302
    miss rate                        |     43.58% |     99.18% |     87.19% |     96.59% |     97.77% |     98.41% |     79.96% |     78.33% |     79.36% |     78.12% |      7.61% |      9.16% |      9.21% |      9.26% |     52.06%
    mpki                             |       0.66 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.50
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529962 |     430473 |    6352680 |   13010263 |    6347322 |    6367484 |    5501228 |    5317121 |    5772966 |    5582126 |   40157255 |   42662912 |   40485641 |   41554687 |     618403
    num cache misses                 |       2006 |        467 |        413 |       1054 |        400 |        402 |       1952 |       1772 |        961 |        922 |      25113 |      21563 |      26194 |      20143 |        632
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.04% |      0.03% |      0.02% |      0.02% |      0.06% |      0.05% |      0.06% |      0.05% |      0.10%
    mpki                             |       0.21 |       0.11 |       0.00 |       0.01 |       0.00 |       0.00 |       0.02 |       0.02 |       0.01 |       0.01 |       0.07 |       0.06 |       0.07 |       0.06 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836887 |    3848699 |   56692432 |  115948406 |   56681308 |   56848772 |   22862902 |   22097973 |   23992133 |   23201390 |  172215654 |  182561467 |  172459860 |  176220261 |    2499905
    num cache misses                 |     173568 |     334382 |      36434 |      74953 |      36136 |      36323 |      47502 |      46036 |      49393 |      48052 |    3232416 |    2595606 |    3157797 |    2529121 |      26295
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.88% |      1.42% |      1.83% |      1.44% |      1.05%
    mpki                             |      17.90 |      75.81 |       0.43 |       0.44 |       0.43 |       0.43 |       0.49 |       0.49 |       0.48 |       0.48 |       9.14 |       6.95 |       8.92 |       6.94 |       5.76
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240970 |     377954 |      37205 |      76897 |      36847 |      37063 |      50239 |      49343 |      51892 |      50616 |    3259251 |    2619247 |    3185813 |    2551274 |      35324
    num cache misses                 |     162453 |     333511 |      36472 |      74963 |      36201 |      36388 |      49001 |      47343 |      49985 |      48583 |     106773 |     106104 |     105545 |      98630 |      18117
    miss rate                        |     67.42% |     88.24% |     98.03% |     97.48% |     98.25% |     98.18% |     97.54% |     95.95% |     96.33% |     95.98% |      3.28% |      4.05% |      3.31% |      3.87% |     51.29%
    mpki                             |      16.75 |      75.62 |       0.43 |       0.44 |       0.43 |       0.43 |       0.50 |       0.50 |       0.49 |       0.49 |       0.30 |       0.28 |       0.30 |       0.27 |       3.97
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227853 |     376617 |      36829 |      75866 |      36512 |      36726 |      49786 |      48880 |      51523 |      50225 |     108529 |     108298 |     107436 |     100694 |      26514
    num cache misses                 |     156556 |     332932 |      35166 |      10438 |      28982 |      35026 |       3813 |      44878 |      48469 |      47323 |      59649 |      64249 |      52498 |      59941 |      16892
    miss rate                        |     68.71% |     88.40% |     95.48% |     13.76% |     79.38% |     95.37% |      7.66% |     91.81% |     94.07% |     94.22% |     54.96% |     59.33% |     48.86% |     59.53% |     63.71%
    mpki                             |      16.14 |      75.48 |       0.42 |       0.06 |       0.34 |       0.42 |       0.04 |       0.48 |       0.47 |       0.48 |       0.17 |       0.17 |       0.15 |       0.16 |       3.70
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     349989 |          0 |          0 |          0 |          0 |          0 |          0 |     349796 |          0 |          0 |          0 |          0 |          0 |          0 |     349754
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75669 |     208940 |      33073 |       6302 |      27293 |      33051 |       1743 |       1453 |       1503 |       1535 |        503 |        958 |        589 |        845 |       3078
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4131 |          1 |        475 |       1366 |        392 |        480 |        444 |      40969 |      44509 |      43039 |      12012 |      14614 |       7627 |      13607 |       9365
