                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num misses                       |        116 |         35 |         32 |         34 |         33 |         32 |         38 |         39 |         39 |         39 |         40 |         47 |         40 |         41 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4835878 |    3848682 |   56849233 |   56681286 |   56691889 |  115948381 |   24037135 |   22518766 |   21687973 |   23910372 |  168660829 |  174989794 |  181468226 |  178332777 |    2509577
    num misses                       |      14532 |       5329 |        595 |        588 |        588 |       1179 |       2204 |       2168 |       2108 |       2231 |      23344 |      32792 |      21293 |      20936 |       4146
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.17%
    mpki                             |       1.50 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.07 |       0.09 |       0.06 |       0.06 |       0.90
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14648 |       5364 |        627 |        622 |        621 |       1211 |       2242 |       2207 |       2147 |       2270 |      23384 |      32839 |      21333 |      20977 |       4187
    num misses                       |       6311 |       5324 |        623 |        616 |        617 |       1189 |       1783 |       1752 |       1701 |       1792 |       1799 |       1979 |       1948 |       1862 |       2319
    miss rate                        |     43.08% |     99.25% |     99.36% |     99.04% |     99.36% |     98.18% |     79.53% |     79.38% |     79.23% |     78.94% |      7.69% |      6.03% |      9.13% |      8.88% |     55.39%
    mpki                             |       0.65 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.51
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529738 |     430466 |    6367612 |    6347310 |    6352509 |   13010245 |    5784171 |    5418117 |    5218405 |    5752683 |   39715757 |   41279401 |   42016569 |   41846613 |     619762
    num cache misses                 |       1995 |        463 |        401 |        402 |        406 |       1069 |       1989 |       1862 |       1792 |        953 |      24590 |      19917 |      21936 |      21835 |        583
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.03% |      0.03% |      0.02% |      0.06% |      0.05% |      0.05% |      0.05% |      0.09%
    mpki                             |       0.21 |       0.10 |       0.00 |       0.00 |       0.00 |       0.01 |       0.02 |       0.02 |       0.02 |       0.01 |       0.07 |       0.06 |       0.06 |       0.06 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4835878 |    3848682 |   56849233 |   56681286 |   56691889 |  115948381 |   24037135 |   22518766 |   21687973 |   23910372 |  168660829 |  174989794 |  181468226 |  178332777 |    2509577
    num cache misses                 |     173485 |     334384 |      36360 |      36124 |      36414 |      75006 |      49704 |      46919 |      45186 |      49332 |    3161836 |    2494199 |    2634244 |    2494321 |      26482
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.87% |      1.43% |      1.45% |      1.40% |      1.06%
    mpki                             |      17.89 |      75.81 |       0.43 |       0.43 |       0.43 |       0.44 |       0.48 |       0.49 |       0.49 |       0.48 |       9.09 |       6.91 |       7.13 |       6.80 |       5.78
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240774 |     377952 |      37091 |      36866 |      37181 |      76992 |      52491 |      50351 |      48503 |      51872 |    3188231 |    2515830 |    2658314 |    2518196 |      35314
    num cache misses                 |     162403 |     333509 |      36427 |      36198 |      36441 |      75028 |      51241 |      48291 |      46520 |      49887 |     104357 |      96261 |     103592 |      99060 |      18079
    miss rate                        |     67.45% |     88.24% |     98.21% |     98.19% |     98.01% |     97.45% |     97.62% |     95.91% |     95.91% |     96.17% |      3.27% |      3.83% |      3.90% |      3.93% |     51.19%
    mpki                             |      16.75 |      75.62 |       0.43 |       0.43 |       0.43 |       0.44 |       0.50 |       0.50 |       0.50 |       0.49 |       0.30 |       0.27 |       0.28 |       0.27 |       3.95
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227701 |     376615 |      36757 |      36538 |      36802 |      75958 |      52039 |      49862 |      48045 |      51475 |     106192 |      98027 |     105821 |     101149 |      26328
    num cache misses                 |     156380 |     332930 |      34973 |      32546 |      35208 |      15834 |       3944 |      45638 |      43985 |      48619 |      66389 |      50830 |      64481 |      57499 |      16697
    miss rate                        |     68.68% |     88.40% |     95.15% |     89.07% |     95.67% |     20.85% |      7.58% |     91.53% |     91.55% |     94.45% |     62.52% |     51.85% |     60.93% |     56.85% |     63.42%
    mpki                             |      16.13 |      75.48 |       0.41 |       0.39 |       0.42 |       0.09 |       0.04 |       0.47 |       0.47 |       0.48 |       0.19 |       0.14 |       0.17 |       0.16 |       3.64
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     356927 |          0 |          0 |          0 |          0 |          0 |          0 |     356970 |          0 |          0 |          0 |          0 |          0 |          0 |     356916
  average dram access latency (ns)   |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf |      61.29 |        inf |        inf |        inf |        inf |        inf |        inf |      61.26
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75661 |     208941 |      33072 |      30663 |      33073 |      11511 |       1883 |       1489 |       1402 |       1517 |        452 |       1066 |        786 |        910 |       3366
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3972 |          1 |        445 |        456 |        496 |       1434 |        398 |      41723 |      40203 |      44376 |      20504 |       3643 |      16035 |       9769 |       8888
