                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache misses                 |     173559 |     334387 |      36414 |      36309 |      36388 |      74981 |      48396 |      46011 |      47083 |      49416 |    3342726 |    2719368 |    3102672 |    2371847 |      23988
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.90% |      1.46% |      1.84% |      1.38% |      0.96%
    mpki                             |      17.90 |      75.87 |       0.43 |       0.43 |       0.43 |       0.44 |       0.48 |       0.48 |       0.49 |       0.48 |       9.28 |       7.18 |       8.91 |       6.63 |       5.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240906 |     377832 |      37174 |      37043 |      37363 |      76961 |      50198 |      49242 |      50554 |      51917 |    3368579 |    2742978 |    3130964 |    2394232 |      32801
    num cache misses                 |     162476 |     333511 |      36448 |      36388 |      36576 |      75005 |      49013 |      47332 |      48503 |      49962 |     104512 |     110256 |     103805 |      95673 |      16912
    miss rate                        |     67.44% |     88.27% |     98.05% |     98.23% |     97.89% |     97.46% |     97.64% |     96.12% |     95.94% |     96.23% |      3.10% |      4.02% |      3.32% |      4.00% |     51.56%
    mpki                             |      16.76 |      75.67 |       0.43 |       0.43 |       0.44 |       0.44 |       0.49 |       0.50 |       0.50 |       0.49 |       0.29 |       0.29 |       0.30 |       0.27 |       3.69
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227807 |     376491 |      36806 |      36722 |      36903 |      75931 |      49828 |      48782 |      50086 |      51558 |     106019 |     112515 |     105770 |      97545 |      25313
    num cache misses                 |     156449 |     332934 |      35166 |      35034 |      32623 |      13370 |       3977 |      44869 |      45824 |      48789 |      52946 |      75325 |      51039 |      59286 |      16909
    miss rate                        |     68.68% |     88.43% |     95.54% |     95.40% |     88.40% |     17.61% |      7.98% |     91.98% |     91.49% |     94.63% |     49.94% |     66.95% |     48.25% |     60.78% |     66.80%
    mpki                             |      16.14 |      75.54 |       0.42 |       0.42 |       0.39 |       0.08 |       0.04 |       0.47 |       0.47 |       0.48 |       0.15 |       0.20 |       0.15 |       0.17 |       3.69
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     354415 |          0 |          0 |          0 |          0 |          0 |          0 |     354392 |          0 |          0 |          0 |          0 |          0 |          0 |     354580
  average dram access latency (ns)   |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75618 |     208810 |      33076 |      33065 |      30803 |       9164 |       1897 |       1395 |       1474 |       1526 |        554 |        885 |        524 |        740 |       3191
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4080 |          1 |        475 |        465 |        444 |       1403 |        402 |      41178 |      41918 |      44502 |       6164 |      21148 |       8392 |      12797 |       9212
