                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529895 |     430473 |    6367615 |    6352505 |    6347315 |   13010263 |    5744008 |    5771397 |    5291639 |    5366572 |   41887088 |   39790472 |   41717665 |   41466976 |     617927
    num misses                       |        113 |         36 |         34 |         33 |         32 |         34 |         41 |         41 |         39 |         39 |         47 |         46 |         47 |         46 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836495 |    3838163 |   56849248 |   56691920 |   56681286 |  115948427 |   23873009 |   23985452 |   21992727 |   22304265 |  179046498 |  168195224 |  176993315 |  179231351 |    2494511
    num misses                       |      14379 |       5330 |        850 |        617 |        593 |       1179 |       2255 |       2220 |       2145 |       2158 |      20670 |      20373 |      20254 |      28217 |       4330
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.17%
    mpki                             |       1.48 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.06 |       0.08 |       0.95
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14492 |       5366 |        884 |        650 |        625 |       1213 |       2296 |       2261 |       2184 |       2197 |      20717 |      20419 |      20301 |      28263 |       4371
    num misses                       |       6333 |       5325 |        625 |        624 |        613 |       1191 |       1820 |       1813 |       1682 |       1728 |       1942 |       1798 |       2000 |       2102 |       2303
    miss rate                        |     43.70% |     99.24% |     70.70% |     96.00% |     98.08% |     98.19% |     79.27% |     80.19% |     77.01% |     78.65% |      9.37% |      8.81% |      9.85% |      7.44% |     52.69%
    mpki                             |       0.65 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.51
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529895 |     430473 |    6367615 |    6352505 |    6347315 |   13010263 |    5744008 |    5771397 |    5291639 |    5366572 |   41887088 |   39790472 |   41717665 |   41466976 |     617927
    num cache misses                 |       2011 |        563 |        404 |        649 |        396 |       1063 |       1015 |       1008 |       1836 |        970 |      21250 |      25544 |      21226 |      25651 |        666
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.03% |      0.02% |      0.05% |      0.06% |      0.05% |      0.06% |      0.11%
    mpki                             |       0.21 |       0.13 |       0.00 |       0.01 |       0.00 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.06 |       0.07 |       0.06 |       0.07 |       0.15
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836495 |    3838163 |   56849248 |   56691920 |   56681286 |  115948427 |   23873009 |   23985452 |   21992727 |   22304265 |  179046498 |  168195224 |  176993315 |  179231351 |    2494511
    num cache misses                 |     173557 |     334390 |      36358 |      36651 |      36169 |      74926 |      49278 |      49486 |      45788 |      46180 |    2574461 |    3144257 |    2510230 |    3302906 |      24435
    miss rate                        |      3.59% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.44% |      1.87% |      1.42% |      1.84% |      0.98%
    mpki                             |      17.90 |      76.09 |       0.43 |       0.44 |       0.43 |       0.44 |       0.48 |       0.48 |       0.49 |       0.48 |       6.99 |       9.02 |       6.88 |       9.08 |       5.36
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     239725 |     372789 |      37099 |      37634 |      36891 |      76877 |      51075 |      51278 |      49185 |      48722 |    2597459 |    3171344 |    2532900 |    3329973 |      28596
    num cache misses                 |     162437 |     333611 |      36432 |      36818 |      36227 |      74934 |      49884 |      50119 |      47159 |      46813 |      97155 |     100499 |     102148 |     111911 |      17364
    miss rate                        |     67.76% |     89.49% |     98.20% |     97.83% |     98.20% |     97.47% |     97.67% |     97.74% |     95.88% |     96.08% |      3.74% |      3.17% |      4.03% |      3.36% |     60.72%
    mpki                             |      16.75 |      75.91 |       0.43 |       0.44 |       0.43 |       0.44 |       0.49 |       0.49 |       0.50 |       0.49 |       0.26 |       0.29 |       0.28 |       0.31 |       3.81
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     226598 |     371448 |      36769 |      37152 |      36553 |      75835 |      50666 |      50903 |      48722 |      48385 |      99020 |     102108 |     103667 |     113356 |      20865
    num cache misses                 |     154582 |     332926 |      34963 |      35087 |      32501 |      20916 |       3889 |       3631 |      44926 |      45358 |      74417 |      68614 |      61108 |      72429 |       6222
    miss rate                        |     68.22% |     89.63% |     95.09% |     94.44% |     88.91% |     27.58% |      7.68% |      7.13% |     92.21% |     93.74% |     75.15% |     67.20% |     58.95% |     63.90% |     29.82%
    mpki                             |      15.94 |      75.75 |       0.41 |       0.42 |       0.39 |       0.12 |       0.04 |       0.04 |       0.48 |       0.48 |       0.20 |       0.20 |       0.17 |       0.20 |       1.37
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     537657 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     537541 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.28 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74448 |     203669 |      33107 |      33079 |      30720 |      16724 |       1961 |       1908 |       1428 |       1468 |        634 |        409 |        832 |        551 |       4667
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3391 |          3 |        419 |        415 |        393 |       1301 |        333 |        332 |      40844 |      41397 |      27494 |      24773 |      12439 |      26030 |        146
