                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.93 |       5.05 |       5.36 |       6.20 |       1.82
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529876 |     430466 |    6352664 |    6367479 |   13010268 |    6347295 |    5245830 |    5331258 |    5831553 |    5764842 |   41099434 |   43568664 |   41287242 |   38904845 |     619667
    num misses                       |        113 |         35 |         33 |         32 |         32 |         32 |         38 |         39 |         39 |         39 |         46 |         40 |         40 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836404 |    3838146 |   56692400 |   56848753 |  115948485 |   56681269 |   21803587 |   22156660 |   24234779 |   23959847 |  171827200 |  192577625 |  179097542 |  159954538 |    2500621
    num misses                       |      14734 |       5351 |        602 |        593 |       1173 |        588 |       2140 |       2251 |       2357 |       2217 |      20325 |      24278 |      22179 |      18295 |       4797
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.19%
    mpki                             |       1.52 |       1.22 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.06 |       0.05 |       1.05
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14847 |       5386 |        635 |        625 |       1205 |        620 |       2178 |       2290 |       2396 |       2256 |      20371 |      24318 |      22219 |      18342 |       4838
    num misses                       |       6388 |       5325 |        626 |        616 |       1189 |        614 |       1692 |       1754 |       1797 |       1812 |       1785 |       2311 |       2063 |       1656 |       2288
    miss rate                        |     43.03% |     98.87% |     98.58% |     98.56% |     98.67% |     99.03% |     77.69% |     76.59% |     75.00% |     80.32% |      8.76% |      9.50% |      9.28% |      9.03% |     47.29%
    mpki                             |       0.66 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.00 |       0.01 |       0.01 |       0.00 |       0.50
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529876 |     430466 |    6352664 |    6367479 |   13010268 |    6347295 |    5245830 |    5331258 |    5831553 |    5764842 |   41099434 |   43568664 |   41287242 |   38904845 |     619667
    num cache misses                 |       1850 |        459 |        407 |        405 |       1072 |        645 |       1891 |       1781 |       1064 |        930 |      20989 |      20371 |      26134 |      25456 |        651
    miss rate                        |      0.12% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.04% |      0.03% |      0.02% |      0.02% |      0.05% |      0.05% |      0.06% |      0.07% |      0.11%
    mpki                             |       0.19 |       0.10 |       0.00 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.06 |       0.05 |       0.07 |       0.08 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836404 |    3838146 |   56692400 |   56848753 |  115948485 |   56681269 |   21803587 |   22156660 |   24234779 |   23959847 |  171827200 |  192577625 |  179097542 |  159954538 |    2500621
    num cache misses                 |     169898 |     334383 |      36431 |      36297 |      74925 |      36416 |      45512 |      46280 |      50015 |      49222 |    2387033 |    2843908 |    3384489 |    2904861 |      24761
    miss rate                        |      3.51% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.39% |      1.48% |      1.89% |      1.82% |      0.99%
    mpki                             |      17.52 |      76.09 |       0.43 |       0.43 |       0.44 |       0.43 |       0.49 |       0.49 |       0.48 |       0.48 |       6.66 |       7.37 |       9.33 |       8.58 |       5.42
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     235960 |     372679 |      37180 |      37032 |      76887 |      37383 |      48160 |      48839 |      52742 |      51676 |    2409616 |    2865907 |    3412155 |    2931719 |      28943
    num cache misses                 |     159183 |     333504 |      36474 |      36373 |      74940 |      36602 |      46956 |      47587 |      50692 |      49804 |      93623 |     113608 |     112156 |      95394 |      17363
    miss rate                        |     67.46% |     89.49% |     98.10% |     98.22% |     97.47% |     97.91% |     97.50% |     97.44% |     96.11% |     96.38% |      3.89% |      3.96% |      3.29% |      3.25% |     59.99%
    mpki                             |      16.42 |      75.89 |       0.43 |       0.43 |       0.44 |       0.44 |       0.50 |       0.50 |       0.49 |       0.49 |       0.26 |       0.29 |       0.31 |       0.28 |       3.80
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     223399 |     371342 |      36816 |      36703 |      75843 |      36924 |      47712 |      48364 |      52355 |      51328 |      95310 |     115269 |     113767 |      96871 |      20898
    num cache misses                 |     154664 |     332921 |      35120 |      35006 |      13252 |      29239 |       3711 |       3653 |      49253 |      48603 |      60552 |      82976 |      73480 |      58853 |       6436
    miss rate                        |     69.23% |     89.65% |     95.39% |     95.38% |     17.47% |     79.19% |      7.78% |      7.55% |     94.08% |     94.69% |     63.53% |     71.98% |     64.59% |     60.75% |     30.80%
    mpki                             |      15.95 |      75.75 |       0.42 |       0.42 |       0.08 |       0.35 |       0.04 |       0.04 |       0.48 |       0.47 |       0.17 |       0.22 |       0.20 |       0.17 |       1.41
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     533199 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     533132 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.31 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74667 |     203670 |      33092 |      33075 |       9197 |      27500 |       1819 |       1876 |       1515 |       1442 |        905 |        719 |        408 |        481 |       4812
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3218 |          3 |        438 |        431 |       1282 |        406 |        332 |        366 |      45057 |      44510 |      16939 |      25505 |      22509 |      18418 |        192
